code,stock,price
BAN970961,instock,2716
BAN996695,instock,2200
BANH556103-UP,instock,2090
BANH577955-UP,instock,1173
BANH582652-UP,instock,1500
BANH587800-UP,instock,1650
BANH588135-UP,instock,2800
BANH589293-UP,instock,2425
BANH590206-UP,instock,1805
BANH592422-UP,instock,1900
BANH603920-UP,instock,1440
BANH630308-UP,instock,1600
BANH662781,instock,480
BANH662798,instock,1125
BANH66285,instock,2400
BANH662996,instock,1080
BANH663047,instock,1500
BANH663108,instock,1480
BANH663115,instock,3040
BANH663795,instock,1258
BANH663856,instock,1045
BANH666864,instock,810
BANH666895,instock,1650
BANH666932,instock,1045
BANH671394,instock,2040
BANH671516,instock,1275
BANH671615,instock,1940
BANH671639,instock,609
BANH671660,instock,450
BANH671677,instock,600
BANH671745,instock,1870
BANH671769,instock,776
BANH671783,instock,609
BANH671790,instock,609
BANH674173,instock,2660
BANH674227,instock,810
BANH674258,instock,609
BANH674265,instock,665
BANH674302,instock,2100
BANH674340,instock,1050
BANH674470,instock,2500
BANH674487,instock,1050
BANH674494,instock,776
BANH674500,instock,2000
BANH674524,instock,525
BANH676900,instock,1800
BANH683175,instock,1740
BANH683182,instock,1080
BANH683205,instock,1740
BANH683229,instock,1200
BANH683236,instock,609
BANH683359,instock,810
BANH683380,instock,1275
BANH683397,instock,1740
BANH683410,instock,700
BANH683496,instock,2134
BANH683564,instock,889
BANH683571,instock,889
BANH685575,instock,870
BANH685780,instock,1288
BANH685797,instock,1740
BANH685803,instock,1914
BANH685810,instock,609
BANH685841,instock,1406
BANH685865,instock,1740
BANH685872,instock,2134
BANH685889,instock,609
BANH685896,instock,696
BANH685919,instock,660
BANH686770,instock,1740
BANH686787,instock,679
BANH686817,instock,700
BANH686824,instock,2070
BANH686848,instock,2850
BANH686862,instock,3450
BANH686930,instock,1200
BANH688484,instock,3450
BANH688620,instock,3450
BANH688637,instock,1740
BANH688644,instock,679
BANH688651,instock,609
BANH688668,instock,800
BANH688682,instock,3201
BANH688705,instock,1044
BANH691576,instock,1920
BANH691613,instock,1512
BANH691637,instock,2850
BANH691644,instock,870
BANH691842,instock,1680
BANH691910,instock,60000
BANH691934,instock,970
BANH692009,instock,3610
BANH720054,instock,1362
BANH720061,instock,970
BANH720139,instock,2000
BANH720221,instock,1436
BANH720306,instock,12000
BANH720344,instock,4600
BANH720382,instock,3800
BANH725219,instock,2500
BANH725233,instock,1900
BANH725240,instock,2500
BANH725288,instock,7000
BANH725363,instock,4600
BANH725370,instock,3400
BANH725394,instock,1200
BANH725400,instock,3800
BANH725486,instock,1300
BANH725516,instock,2300
BANH725523,instock,1500
BANH725561,instock,2200
BANH725639,instock,2400
BANH742520,instock,2200
BANH742537,instock,1000
BANH742544,instock,600
BANH742575,instock,4600
BANH742582,instock,600
BANH742742,instock,1600
BANH742933,futurerelease,1200
BANH845064,futurerelease,1700
BANH845095,futurerelease,3800
BANH845101,futurerelease,2500
BANH845170,futurerelease,1900
BANH845187,futurerelease,2300
BANH845194,futurerelease,1000
BANH847242,futurerelease,1750
BANH847266,futurerelease,700
BANS57778,instock,1380
BANS57780,instock,1311
BANS57792,instock,1380
BANS58188,instock,1380
BANS60252,instock,1311
BANS60735,instock,624
BANS60747,instock,679
BANS61759,instock,952
BANS61920,instock,2300
BANS61921,instock,600
BANS61923,instock,1088
BANS61995,instock,663
BANS61996,instock,680
BANS62062,instock,1088
BANS62944,instock,1600
BANS62952,instock,600
BANS62953,instock,600
BANS63341,instock,1552
BANS63347,instock,1400
BANS63359,instock,510
BANS63385,instock,1311
BANS63387,instock,1311
BANS63389,instock,3040
BANS63394,instock,500
BANS63710,instock,1100
BANS63941,instock,2375
BANS64252,instock,1552
BANS65016,instock,1600
BANS65024,instock,1900
BANS65096,instock,1649
BANS65097,instock,1520
BANS65114,instock,1480
BANS65313,instock,1900
BANS65316,instock,1480
BANS65322,instock,2000
BANS65432,instock,1125
BANS65433,instock,450
BANS65443,instock,650
BANS65445,instock,1275
BANS65446,instock,600
BANS65461,instock,1270
BANS65695,instock,384
BANS65704,instock,1875
BANS65705,instock,1650
BANS65713,instock,640
GNZTMS01,instock,1350
GNZTMS02,instock,1350
